instance,execution_time_sec,total_cost,capacity_ok
E016-03m.dat,0.036,282.946,False
E016-05m.dat,0.0332,336.857,False
E021-04m.dat,0.0527,391.766,False
E021-06m.dat,0.0294,444.42,False
E022-04g.dat,0.0337,387.543,True
E022-06m.dat,0.0321,508.219,False
E023-03g.dat,0.0324,576.42,True
E023-05S.dat,0.0378,576.42,True
E026-08m.dat,0.0297,626.781,False
E030-03g.dat,0.0565,534.448,False
E030-04S.dat,0.0362,533.167,True
E031-09h.dat,0.0284,625.215,False
E033-03N.dat,0.0483,2137.88,True
E033-04g.dat,0.0342,843.098,True
E033-05s.dat,0.0399,843.098,True
E036-11h.dat,0.0732,731.465,False
E041-14h.dat,0.0358,899.495,False
E045-04f.dat,0.0303,730.249,False
E048-04y.dat,0.0527,42580.7,True
E051-05e.dat,0.0396,584.637,False
E072-04f.dat,0.0567,258.226,False
E076-07s.dat,0.1448,735.754,True
E076-07u.dat,0.1431,735.754,True
E076-08s.dat,0.091,783.736,True
E076-08u.dat,0.0897,783.736,True
E076-10e.dat,0.0485,914.271,False
E076-14s.dat,0.0473,1054.6,False
E076-14u.dat,0.0854,1054.6,False
E076-15s.dat,0.0475,1054.6,True
E076A10r.dat,0.0803,1652.62,True
E076B09r.dat,0.0622,1377.69,False
E076C09r.dat,0.047,1389.35,True
E076D09r.dat,0.0727,1429.26,False
E101-08e.dat,0.2886,868.942,True
E101-10c.dat,0.4632,832.633,True
E101-14s.dat,0.0559,1143.45,True
E101-14u.dat,0.0653,1143.45,True
E101A11r.dat,0.1196,2156.17,False
E101B11r.dat,0.1026,2043.7,False
E101C11r.dat,0.2929,1462.04,True
E101D11r.dat,0.0952,1688.77,False
E121-07c.dat,0.2085,1072.9,True
E135-07f.dat,1.2142,1218.49,True
E151-12b.dat,0.142,1112.5,True
E151-12c.dat,0.3136,1094.99,True
E151A15r.dat,0.3513,3381.58,False
E151B14r.dat,1.9446,2893.88,True
E151C14r.dat,0.3764,2441.05,False
E151D14r.dat,0.2869,2812.74,False
E200-16b.dat,0.2725,1422.01,False
E200-16c.dat,0.2556,1421.59,False
E200-17b.dat,1.4533,1408.05,True
E200-17c.dat,1.4915,1407.63,True
