instance,execution_time_sec,total_cost,capacity_ok
E030-04S.dat,0.005,644.077,True
E200-16b.dat,0.7551,2873.06,False
E076-07s.dat,0.0405,1291.86,True
E021-04m.dat,0.0034,570.832,False
E076-08u.dat,0.0406,1462.01,True
E033-04g.dat,0.0056,958.831,True
E200-17c.dat,0.786,2874.53,True
E016-05m.dat,0.0024,460.085,False
E030-03g.dat,0.0051,644.077,True
E135-07f.dat,0.4057,1696.43,True
E041-14h.dat,0.0101,1318.51,True
E022-06m.dat,0.0039,640.54,True
E076D09r.dat,0.0391,2390.64,True
E200-16c.dat,0.7993,2874.53,False
E031-09h.dat,0.0056,851.722,True
E151C14r.dat,0.75,4625.8,True
E076B09r.dat,0.0391,2317.58,True
E033-03N.dat,0.0064,3704.45,True
E076C09r.dat,0.0394,2027.15,True
E076-14u.dat,0.0418,1894.06,True
E023-03g.dat,0.0041,886.637,True
E151-12b.dat,0.7133,2207.08,True
E076-08s.dat,0.0401,1462.01,True
E101A11r.dat,0.0952,3023.22,True
E076-14s.dat,0.0421,1894.06,True
E200-17b.dat,0.7856,2873.06,True
E121-07c.dat,0.1408,1467.4,True
E151D14r.dat,0.5607,4443.94,True
E051-05e.dat,0.0144,829.74,True
E022-04g.dat,0.0035,573.234,False
E101-14s.dat,0.0893,2068.5,True
E076A10r.dat,0.0404,3190.46,False
E026-08m.dat,0.0039,870.518,False
E101-08e.dat,0.0854,1567.21,True
E033-05s.dat,0.006,958.831,True
E048-04y.dat,0.0138,68321.9,True
E101D11r.dat,0.0896,2534.6,True
E151B14r.dat,0.7534,5194.08,True
E151-12c.dat,0.4619,2215.09,True
E151A15r.dat,0.6643,4802.59,True
E045-04f.dat,0.0106,1048.94,True
E016-03m.dat,0.0025,402.204,False
E101-14u.dat,0.0887,2068.5,True
E021-06m.dat,0.0044,563.023,False
E036-11h.dat,0.0074,1129.69,False
E101-10c.dat,0.0865,1663.68,True
E076-10e.dat,0.0439,1588.0,True
E023-05S.dat,0.0033,886.637,True
E101B11r.dat,0.0883,3673.27,True
E076-15s.dat,0.0406,1894.06,True
E072-04f.dat,0.0331,358.234,True
E076-07u.dat,0.0393,1291.86,True
E101C11r.dat,0.0897,2214.16,True
